i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2369,01347,01347.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2371,01310,01310.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2372,06893,06893.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2373,01466,01466.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2374,08195,08195.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2375,08363,08363.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2376,01381,01381.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2377,01786,01786.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2378,01958,01958.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2379,01289,01289.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2380,01305,01305.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2381,01317,01317.HK,È«Äá °Å·¡¼Ò,20210831,20210831
2382,06882,06882.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2383,01478,01478.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2384,01022,01022.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2385,01480,01480.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2386,08170,08170.HK,È«Äá °Å·¡¼Ò,20221031,20221031
2387,00520,00520.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2388,08307,08307.HK,È«Äá °Å·¡¼Ò,20230331,20230331
