i,이름, 코드, 거래소, koscom_day, naver_day
330,어냅티스바이오,ANAB.O,나스닥 증권거래소,20230331,20230331
331,앤더슨스,ANDE.O,나스닥 증권거래소,20230331,20230331
332,아네불로 파마슈티컬,ANEB.O,나스닥 증권거래소,20230331,20230331
334,애버크롬비 & 피치,ANF,뉴욕 거래소,20230429,20230429
336,앤지,ANGI.O,나스닥 증권거래소,20230331,20230331
337,앤지오다이내믹스,ANGO.O,나스닥 증권거래소,20230228,20230228
338,아니카 테라퓨틱스,ANIK.O,나스닥 증권거래소,20230331,20230331
339,ANI 파마슈티컬스,ANIP.O,나스닥 증권거래소,20230331,20230331
341,아넥슨,ANNX.O,나스닥 증권거래소,20230331,20230331
342,앤시스,ANSS.O,나스닥 증권거래소,20230331,20230331
343,에어넷 테크놀러지 ADR,ANTE.O,나스닥 증권거래소,20221231,20221231
344,AN2 테라퓨틱스,ANTX.O,나스닥 증권거래소,20230331,20230331
345,애노비스 바이오,ANVS.K,뉴욕 거래소,20230331,20230331
346,스피어 3D,ANY.O,나스닥 증권거래소,20230331,20230331
348,아로고 캐피탈 애퀴지션,AOGO.O,나스닥 증권거래소,20230331,20230331
349,엔젤 오크 모기지 리츠,AOMR.K,뉴욕 거래소,20230331,20230331
350,에이온,AON,뉴욕 거래소,20230331,20230331
351,아티비온,AORT.K,뉴욕 거래소,20230331,20230331
352,A O 스미스,AOS,뉴욕 거래소,20230331,20230331
353,알파 앤 오메가 세미콘덕터,AOSL.O,나스닥 증권거래소,20230331,20230331
354,아메리칸 아웃도어 브랜드,AOUT.O,나스닥 증권거래소,20230131,20230131
355,앰프코 피츠버그,AP,뉴욕 거래소,20230331,20230331
356,APA (US),APA.O,나스닥 증권거래소,20230331,20230331
357,스톤브릿지 애퀴지션,APAC.O,나스닥 증권거래소,20230331,20230331
358,아티잔 파트너스 애셋 매니지먼트,APAM.K,뉴욕 거래소,20230331,20230331
359,에이피 애퀴지션,APCA.K,뉴욕 거래소,20230331,20230331
360,앱테크 페이먼츠,APCX.O,나스닥 증권거래소,20230331,20230331
361,에어 프로덕츠 앤 케미컬스,APD,뉴욕 거래소,20230331,20230331
362,어플라이드 DNA 사이언스,APDN.O,나스닥 증권거래소,20230331,20230331
363,아메리칸 퍼블릭 에듀케이션,APEI.O,나스닥 증권거래소,20230331,20230331
364,APi 그룹,APG,뉴욕 거래소,20230331,20230331
365,아폴로 스트래터직 캐피털 II,APGB.K,뉴욕 거래소,20230331,20230331
366,아펙시겐,APGN.O,나스닥 증권거래소,20230331,20230331
367,암페놀,APH,뉴욕 거래소,20230331,20230331
368,아고라 ADR,API.O,나스닥 증권거래소,20230331,20230331
369,어플라이드 디지털,APLD.O,나스닥 증권거래소,20230228,20230228
370,애플 호스피탤리티 리츠,APLE.K,뉴욕 거래소,20230331,20230331
372,아펠리스 파머수티컬스,APLS.O,나스닥 증권거래소,20230331,20230331
373,어플라이드 테라퓨틱스,APLT.O,나스닥 증권거래소,20230331,20230331
374,앱토럼 그룹,APM.O,나스닥 증권거래소,20221231,20221231
375,액손프라임 인프라스트럭처 애퀴지션,APMI.O,나스닥 증권거래소,20230331,20230331
376,아폴로 글로벌 매니지먼트,APO,뉴욕 거래소,20230331,20230331
377,아포지 엔터프라이스,APOG.O,나스닥 증권거래소,20230225,20230225
378,앱플로빈,APP.O,나스닥 증권거래소,20230331,20230331
379,앱폴리오,APPF.O,나스닥 증권거래소,20230331,20230331
380,앱하비스트,APPH.O,나스닥 증권거래소,20230331,20230331
381,애피안,APPN.O,나스닥 증권거래소,20230331,20230331
382,디지털 터빈,APPS.O,나스닥 증권거래소,20230331,20230331
383,아프레아 테라퓨틱스,APRE.O,나스닥 증권거래소,20230331,20230331
384,블루 에이프런 홀딩스,APRN.K,뉴욕 거래소,20230331,20230331
385,알파 프로 테크,APT,아멕스 증권거래소,20230331,20230331
386,알파 파트너스 테크놀로지 머저,APTM.O,나스닥 증권거래소,20230331,20230331
