RIC,MAX(ACCOUNT_DATE)
2155.HK         ,20221231
6628.HK         ,20221231
7841.HK         ,20221231
2215.HK         ,20221231
6606.HK         ,20221231
1597.HK         ,20221231
8668.HK         ,20230331
2171.HK         ,20221231
8646.HK         ,20230331
0302.HK         ,20221231
6600.HK         ,20221231
1440.HK         ,20221231
2400.HK         ,20221231
1346.HK         ,20221231
8623.HK         ,20230331
0085.HK         ,20221231
6988.HK         ,20221231
6626.HK         ,20221231
1936.HK         ,20221231
6958.HK         ,20221231
1640.HK         ,20221231
8003.HK         ,20221231
3347.HK         ,20221231
9988.HK         ,20230331
2157.HK         ,20221231
0775.HK         ,20221231
2602.HK         ,20221231
1119.HK         ,20221231
2189.HK         ,20220930
2373.HK         ,20221231
0873.HK         ,20221231
1525.HK         ,20221231
6093.HK         ,20221231
2265.HK         ,20221231
2718.HK         ,20221231
1740.HK         ,20221231
6186.HK         ,20221231
3828.HK         ,20221231
8418.HK         ,20230331
2260.HK         ,20221231
1521.HK         ,20221231
2376.HK         ,20221231
2459.HK         ,20221231
1957.HK         ,20221231
1691.HK         ,20221231
2315.HK         ,20221231
1643.HK         ,20221231
1719.HK         ,20221231
3680.HK         ,20221231
1876.HK         ,20230331
9909.HK         ,20221231
8282.HK         ,20230331
2392.HK         ,20221231
9929.HK         ,20221231
1870.HK         ,20221231
0199.HK         ,20220930
3662.HK         ,20221231
3938.HK         ,20220930
1146.HK         ,20221231
0020.HK         ,20221231
1376.HK         ,20221231
1351.HK         ,20221231
9995.HK         ,20221231
1416.HK         ,20230228
3658.HK         ,20221231
2165.HK         ,20221231
1845.HK         ,20221231
0314.HK         ,20221231
1927.HK         ,20221231
6117.HK         ,20221231
2160.HK         ,20221231
2131.HK         ,20221231
1501.HK         ,20221231
8617.HK         ,20230331
6989.HK         ,20221231
2370.HK         ,20220630
1861.HK         ,20221231
9999.HK         ,20230331
1701.HK         ,20221231
8080.HK         ,20221231
6999.HK         ,20221231
0123.HK         ,20221231
2416.HK         ,20221231
3718.HK         ,20221231
8616.HK         ,20221231
6978.HK         ,20221231
6618.HK         ,20221231
1489.HK         ,20220930
9960.HK         ,20221231
1875.HK         ,20221231
0434.HK         ,20230331
0816.HK         ,20221231
2263.HK         ,20220930
1608.HK         ,20221231
2385.HK         ,20221231
9992.HK         ,20221231
9901.HK         ,20221130
2325.HK         ,20221231
2210.HK         ,20221231
2257.HK         ,20221231
9916.HK         ,20221231
6660.HK         ,20221231
6698.HK         ,20221231
2433.HK         ,20221231
9979.HK         ,20221231
9878.HK         ,20221231
1066.HK         ,20221231
6878.HK         ,20221231
2457.HK         ,20221231
8496.HK         ,20230331
6855.HK         ,20221231
601658.SS       ,20230331
6979.HK         ,20221231
9908.HK         ,20221231
9898.HK         ,20230331
2372.HK         ,20221231
3896.HK         ,20230331
1220.HK         ,20220930
9688.HK         ,20230331
2146.HK         ,20221231
6608.HK         ,20221231
1953.HK         ,20221031
3611.HK         ,20221231
1945.HK         ,20221231
2175.HK         ,20220228
3686.HK         ,20221231
600941.SS       ,20230331
9698.HK         ,20230331
2172.HK         ,20221231
9956.HK         ,20221231
9961.HK         ,20230331
2126.HK         ,20221231
2192.HK         ,20221231
2455.HK         ,20221231
2235.HK         ,20221231
0524.HK         ,20221231
2252.HK         ,20221231
2245.HK         ,20221231
2482.HK         ,20221231
2150.HK         ,20221231
2407.HK         ,20221231
1247.HK         ,20221231
2205.HK         ,20220630
2352.HK         ,20221231
9959.HK         ,20221231
9696.HK         ,20221231
6633.HK         ,20221231
2190.HK         ,20221231
2391.HK         ,20230331
6689.HK         ,20221231
2423.HK         ,20230331
6667.HK         ,20221231
1948.HK         ,20221231
2306.HK         ,20221231
2390.HK         ,20230331
8226.HK         ,20230331
8112.HK         ,20230331
2276.HK         ,20221231
7855.HK         ,20221231
2420.HK         ,20221231
0685.HK         ,20230331
2425.HK         ,20221231
0064.HK         ,20220930
7827.HK         ,20221231
1405.HK         ,20221231
2440.HK         ,20221231
9669.HK         ,20220930
CSCO.O          ,20230429
INTC.O          ,20230401
SBUX.O          ,20230402
STAN.L          ,20230331
9638.HK         ,20221231
0069.HK         ,20221231
1038.HK         ,20221231
0019.HK         ,20221231
0511.HK         ,20221231
0023.HK         ,20221231
0315.HK         ,20221231
0267.HK         ,20221231
0041.HK         ,20221231
0291.HK         ,20221231
0010.HK         ,20221231
0012.HK         ,20221231
0003.HK         ,20221231
0242.HK         ,20221231
0045.HK         ,20221231
0006.HK         ,20221231
0363.HK         ,20221231
0083.HK         ,20221231
0522.HK         ,20230331
9983.T          ,20230228
0900.HK         ,20230228
0030.HK         ,20210930
0392.HK         ,20221231
0308.HK         ,20221231
0057.HK         ,20220930
1123.HK         ,20220930
0341.HK         ,20230331
1093.HK         ,20230331
1938.HK         ,20221231
0585.HK         ,20221231
0418.HK         ,20221231
0694.HK         ,20221231
0393.HK         ,20221231
0506.HK         ,20221231
0135.HK         ,20221231
0440.HK         ,20221231
0144.HK         ,20221231
0688.HK         ,20221231
0066.HK         ,20221231
8072.HK         ,20230331
0004.HK         ,20221231
1052.HK         ,20221231
1044.HK         ,20221231
0053.HK         ,20221231
0480.HK         ,20230331
0113.HK         ,20230331
0293.HK         ,20221231
1176.HK         ,20221231
0330.HK         ,20221231
0101.HK         ,20221231
0583.HK         ,20221231
0178.HK         ,20230331
0255.HK         ,20221231
0137.HK         ,20221231
1686.HK         ,20221231
0243.HK         ,20221031
0710.HK         ,20221231
0760.HK         ,20221231
0050.HK         ,20221231
1989.HK         ,20230331
0167.HK         ,20220630
1200.HK         ,20221231
1138.HK         ,20221231
1170.HK         ,20220930
1109.HK         ,20221231
1202.HK         ,20221231
1098.HK         ,20221231
0638.HK         ,20220930
8033.HK         ,20230331
0670.HK         ,20221231
0696.HK         ,20221231
0966.HK         ,20221231
8021.HK         ,20230131
2383.HK         ,20221231
1357.HK         ,20221231
0593.HK         ,20221231
0921.HK         ,20230331
0676.HK         ,20221231
1205.HK         ,20221231
1071.HK         ,20221231
0831.HK         ,20221231
2886.HK         ,20221231
0576.HK         ,20230331
0148.HK         ,20221231
0420.HK         ,20221231
0722.HK         ,20221231
0914.HK         ,20221231
0038.HK         ,20230331
0518.HK         ,20220930
0124.HK         ,20221231
0345.HK         ,20230331
3968.HK         ,20230331
0874.HK         ,20230331
0323.HK         ,20230331
0042.HK         ,20221231
0165.HK         ,20221231
1166.HK         ,20221231
