RIC	MAX(ACCOUNT_DATE)
BBW             	20230429
BBWI.K          	20230429
BBY             	20230429
BC              	20230401
BCAB.O          	20230331
BCAT.K          	20221231
BCBP.O          	20230331
BCC             	20230331
BCDA.O          	20230331
BCE             	20230331
BCEL.O          	20230331
BCH             	20230331
BCLI.O          	20230331
BCML.O          	20230331
BCO             	20230331
BCOV.O          	20230331
BCOW.O          	20230331
BCPC.O          	20230331
BCRX.O          	20230331
BCS             	20230331
BCSA.O          	20230331
BCSF.K          	20230331
BCT.TO          	20230430
BCV             	20230331
BCX             	20221231
BCYC.O          	20230331
BDC             	20230402
BDL             	20230401
BDN             	20230331
BDRX.O          	20221231
BDSX.O          	20230331
BDTX.O          	20230331
BDX             	20230331
BE              	20230331
BEAM.O          	20230331
BEAT.O          	20230331
BECN.O          	20230331
BEDU.K          	20220831
BEEM.O          	20230331
BEKE.K          	20230331
BELFA.O         	20230331
BEN             	20230331
BENF.O          	20230331
BEPC.K          	20230331
BEP_u.TO        	20230331
BERY.K          	20230401
BEST.K          	20230331
BFAC.K          	20230331
BFAM.K          	20230331
BFC.O           	20230331
BFH             	20230331
BFI.O           	20230403
BFIN.O          	20230331
BFK             	20230131
BFLY.K          	20230331
BFRG.O          	20230331
BFRI.O          	20230331
BFS             	20230331
BFST.O          	20230331
BFb             	20230430
BG              	20230331
BGB             	20221231
BGCP.O          	20230331
BGFV.O          	20230402
BGI             	20220924
BGNE.O          	20230331
BGRY.O          	20230331
BGS             	20230401
BGSF.K          	20230402
BGXX.O          	20230331
BHAC.O          	20230331
BHAT.O          	20221231
BHB             	20230331
BHC             	20230331
BHE             	20230331
BHF.O           	20230331
BHG             	20230331
BHIL.K          	20230331
BHK             	20221231
BHLB.K          	20230331
BHM             	20230331
BHP             	20221231
BHR             	20230331
BHRB.OQ         	20220930
BHV             	20230131
BHVN.K          	20230331
BHa             	20230331
BIAF.O          	20230331
BIDU.O          	20230331
BIG             	20230429
BIGC.O          	20230331
BIIB.O          	20230331
BILI.O          	20230331
BILL.K          	20230331
BIMI.O          	20230331
BIO             	20230331
BIOC.O          	20230331
BIOL.O          	20230331
BIOR.O          	20230331
BIOS.O          	20230331
BIOX.O          	20230331
BIP             	20221231
BIPC.K          	20221231
BIRD.O          	20230331
BIT             	20221031
BITE.K          	20230331
BITF.TO         	20230331
BIVI.O          	20230331
BJ              	20230429
BJDX.O          	20230331
BJRI.O          	20230404
BK              	20230331
BKCC.O          	20230331
BKD             	20230331
BKE             	20230429
BKH             	20230331
BKI             	20230331
BKKT.K          	20230331
BKN             	20230131
BKNG.O          	20230331
BKR.O           	20230331
BKSC.O          	20221231
BKSY.K          	20230331
BKT             	20221231
BKTI.K          	20230331
BKU             	20230331
BKYI.O          	20230331
BL.O            	20230331
BLAC.O          	20230331
BLBD.O          	20230401
BLBX.O          	20230331
BLCO.K          	20230331
BLD             	20230331
BLDE.O          	20230331
BLDP.O          	20230331
BLDR.K          	20230331
BLE             	20230131
BLEU.O          	20230331
BLFS.O          	20230331
BLFY.O          	20230331
BLIN.O          	20230331
BLK             	20230331
BLKB.O          	20230331
BLMN.O          	20230326
BLND.K          	20230331
BLNG.O          	20230331
BLNK.O          	20230331
BLPH.O          	20230331
BLRX.O          	20230331
BLTE.O          	20230331
BLU.O           	20230331
BLUA.K          	20230331
BLUE.O          	20230331
BLX             	20230331
BLZE.O          	20230331
BMA             	20230331
BMAC.K          	20230331
BMBL.O          	20230331
BME             	20221231
BMEA.O          	20230331
BMEZ.K          	20221231
BMI             	20230331
BMO             	20230430
BMO.TO          	20230430
BMR.O           	20221231
BMRA.O          	20230228
BMRC.O          	20230331
BMRN.O          	20230331
BMTX.K          	20230331
BMY             	20230331
BN              	20230331
BNED.K          	20230128
BNGO.O          	20230331
BNIX.O          	20230331
BNL             	20230331
BNMV.O          	20221231
BNO             	20160331
BNO.AX          	20221231
BNR.O           	20230331
BNRE.TO         	20230331
BNRG.TA         	20230331
BNS             	20230430
BNSO.O          	20220331
BNTC.O          	20230331
BNTX.O          	20230331
BNTY.K          	20220930
BOAC.K          	20230331
BOC             	20230331
BOCN.O          	20230331
BODY.K          	20230331
BOF.O           	20230331
BOH             	20230331
BOKF.O          	20230331
BOLT.O          	20230331
BON.O           	20220930
BOOM.O          	20230331
BOOT.K          	20230401
BORR.OL         	20230331
BOSC.O          	20230331
BOTJ.O          	20230331
BOWL.K          	20230402
BOX             	20230430
BOXL.O          	20230331
BP              	20230331
BPMC.O          	20230331
BPOP.O          	20230331
