i,이름, 코드, 거래소, koscom_day, naver_day
71,3480,3480.T,도쿄 거래소,20230430,20230430
72,3989,3989.T,도쿄 거래소,20230331,20230331
73,1950,1950.T,도쿄 거래소,20230331,20230331
74,6696,6696.T,도쿄 거래소,20230430,20230430
75,3990,3990.T,도쿄 거래소,20230228,20230228
76,3481,3481.T,도쿄 거래소,20230228,20230228
77,6554,6554.T,도쿄 거래소,20230331,20230331
78,3991,3991.T,도쿄 거래소,20230228,20230228
79,3992,3992.T,도쿄 거래소,20230331,20230331
80,3993,3993.T,도쿄 거래소,20230331,20230331
81,6697,6697.T,도쿄 거래소,20230331,20230331
82,3482,3482.T,도쿄 거래소,20230331,20230331
83,9260,9260.T,도쿄 거래소,20230331,20230331
84,3994,3994.T,도쿄 거래소,20230228,20230228
85,6555,6555.T,도쿄 거래소,20230228,20230228
86,9243,9243.T,도쿄 거래소,20230331,20230331
87,6556,6556.T,도쿄 거래소,20230331,20230331
88,4124,4124.T,도쿄 거래소,20230331,20230331
89,3995,3995.T,도쿄 거래소,20230430,20230430
90,9262,9262.T,도쿄 거래소,20230430,20230430
91,9284,9284.T,도쿄 거래소,20221231,20221231
92,3484,3484.T,도쿄 거래소,20230331,20230331
93,7196,7196.T,도쿄 거래소,20230430,20230430
94,6557,6557.T,도쿄 거래소,20230331,20230331
95,3483,3483.T,도쿄 거래소,20230131,20230131
96,9388,9388.T,도쿄 거래소,20230228,20230228
97,7808,7808.T,도쿄 거래소,20230228,20230228
98,3996,3996.T,도쿄 거래소,20230228,20230228
99,6558,6558.T,도쿄 거래소,20230228,20230228
100,9264,9264.T,도쿄 거래소,20230228,20230228
101,7807,7807.T,도쿄 거래소,20230228,20230228
102,3997,3997.T,도쿄 거래소,20230331,20230331
103,7127,7127.T,도쿄 거래소,20230331,20230331
104,3486,3486.T,도쿄 거래소,20230331,20230331
105,7198,7198.T,도쿄 거래소,20230331,20230331
106,6560,6560.T,도쿄 거래소,20230331,20230331
107,6698,6698.T,도쿄 거래소,20230331,20230331
108,7795,7795.T,도쿄 거래소,20230331,20230331
109,3611,3611.T,도쿄 거래소,20230331,20230331
110,6561,6561.T,도쿄 거래소,20230331,20230331
111,2334,2334.T,도쿄 거래소,20230331,20230331
112,1803,1803.T,도쿄 거래소,20230331,20230331
114,3998,3998.T,도쿄 거래소,20230331,20230331
115,6563,6563.T,도쿄 거래소,20230331,20230331
116,2173,2173.T,도쿄 거래소,20230331,20230331
117,6235,6235.T,도쿄 거래소,20230331,20230331
118,7199,7199.T,도쿄 거래소,20230331,20230331
119,4249,4249.T,도쿄 거래소,20230331,20230331
120,6564,6564.T,도쿄 거래소,20230331,20230331
121,6565,6565.T,도쿄 거래소,20230331,20230331
122,6566,6566.T,도쿄 거래소,20230331,20230331
123,9268,9268.T,도쿄 거래소,20230331,20230331
124,3487,3487.T,도쿄 거래소,20221231,20221231
125,3488,3488.T,도쿄 거래소,20230228,20230228
126,4380,4380.T,도쿄 거래소,20230430,20230430
127,6567,6567.T,도쿄 거래소,20230228,20230228
128,9436,9436.T,도쿄 거래소,20230331,20230331
129,3446,3446.T,도쿄 거래소,20230331,20230331
130,6832,6832.T,도쿄 거래소,20230331,20230331
131,1444,1444.T,도쿄 거래소,20230430,20230430
132,6568,6568.T,도쿄 거래소,20230331,20230331
133,6569,6569.T,도쿄 거래소,20230331,20230331
134,3769,3769.T,도쿄 거래소,20230331,20230331
135,3489,3489.T,도쿄 거래소,20230331,20230331
136,8123,8123.T,도쿄 거래소,20230331,20230331
137,3166,3166.T,도쿄 거래소,20230331,20230331
138,6570,6570.T,도쿄 거래소,20230331,20230331
