i,이름, 코드, 거래소, koscom_day, naver_day
2477,7971,7971.T,도쿄 거래소,20230331,20230331
2478,8005,8005.T,도쿄 거래소,20230331,20230331
2479,3302,3302.T,도쿄 거래소,20230331,20230331
2480,9733,9733.T,도쿄 거래소,20230331,20230331
2481,7987,7987.T,도쿄 거래소,20230331,20230331
2482,9969,9969.T,도쿄 거래소,20230331,20230331
2483,2217,2217.T,도쿄 거래소,20230430,20230430
2484,3548,3548.T,도쿄 거래소,20230228,20230228
2485,8029,8029.T,도쿄 거래소,20230331,20230331
2486,1965,1965.T,도쿄 거래소,20230331,20230331
2487,6408,6408.T,도쿄 거래소,20230331,20230331
2488,7040,7040.T,도쿄 거래소,20230331,20230331
2489,7521,7521.T,도쿄 거래소,20230331,20230331
2490,4231,4231.T,도쿄 거래소,20230331,20230331
2491,1921,1921.T,도쿄 거래소,20230331,20230331
2492,9993,9993.T,도쿄 거래소,20230228,20230228
2493,8065,8065.T,도쿄 거래소,20230331,20230331
2494,7292,7292.T,도쿄 거래소,20230331,20230331
2495,4765,4765.T,도쿄 거래소,20230331,20230331
2496,4678,4678.T,도쿄 거래소,20230331,20230331
